Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
018_S_2155,ROISignals_018_S_2155.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_2180,ROISignals_018_S_2180.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4257,ROISignals_018_S_4257.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4313,ROISignals_018_S_4313.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4349,ROISignals_018_S_4349.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4400,ROISignals_018_S_4400.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4597,ROISignals_018_S_4597.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4696,ROISignals_018_S_4696.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4733,ROISignals_018_S_4733.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4809,ROISignals_018_S_4809.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4868,ROISignals_018_S_4868.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_4889,ROISignals_018_S_4889.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_5074,ROISignals_018_S_5074.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_5240,ROISignals_018_S_5240.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
018_S_6207,ROISignals_018_S_6207.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
018_S_6351,ROISignals_018_S_6351.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
018_S_6414,ROISignals_018_S_6414.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_4252,ROISignals_019_S_4252.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4285,ROISignals_019_S_4285.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4293,ROISignals_019_S_4293.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4367,ROISignals_019_S_4367.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4477,ROISignals_019_S_4477.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4548,ROISignals_019_S_4548.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4549,ROISignals_019_S_4549.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4680,ROISignals_019_S_4680.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_4835,ROISignals_019_S_4835.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_5012,ROISignals_019_S_5012.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_5019,ROISignals_019_S_5019.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
019_S_6186,ROISignals_019_S_6186.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6315,ROISignals_019_S_6315.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6483,ROISignals_019_S_6483.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6573,ROISignals_019_S_6573.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6585,ROISignals_019_S_6585.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6630,ROISignals_019_S_6630.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
019_S_6635,ROISignals_019_S_6635.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
